entity,period,account_code,account_name,balance,bs_pl,status,account_category,sub_category,criticality,review_frequency,department,review_status,review_flag,report_type,analysis_required,review_checkpoint,reconciliation_type,variance_pct
ABEX,2022-06,11100200,Stock of Capital Inventory-Domestic,3531804.53,BS,Assets,Capital Work in Progress,CWIP,Critical,Monthly,R2R,flagged,Red,Inventory report,True,"Direct Assets not capitalised as per Group Guidelines, apart amount tallied with Inventory listing and ageing",Non Reconciliation GL,Not Applicable
ABEX,2022-06,11100400,Stock of Stores & Spares-Domestic,6102197.23,BS,Assets,Inventories,Inventories - Stores and Spares,Medium,Quarterly,R2R,reviewed,Green,Inventory report,True,Amount tallied with Inventory listing and ageing,Non Reconciliation GL,Not Applicable
ABEX,2022-06,11100410,BPC-Stock of Spares & Stores,3627868.33,BS,Assets,Inventories,Inventories - Stores and Spares,Critical,Monthly,R2R,reviewed,Green,Working,False,No Balance,Non Reconciliation GL,Not Applicable
ABEX,2022-06,11100500,Stock of Stores & Spares-Foreign,1492816.79,BS,Assets,Inventories,Inventories - Stores and Spares,Medium,Quarterly,R2R,reviewed,Green,Inventory report,True,Amount tallied with Inventory listing and ageing,Non Reconciliation GL,Not Applicable
ABEX,2022-06,11100600,Stock of Operating Supplies-Domestic,2025542.79,BS,Assets,Inventories,Inventories - Stores and Spares,Medium,Quarterly,R2R,reviewed,Green,Inventory report,True,Amount tallied with Inventory listing and ageing,Non Reconciliation GL,Not Applicable
ABEX,2022-06,11200010,Business Partner-Loan,0.0,BS,Assets,Loans,Loan to Related parties_LT,Medium,Quarterly,TRM,reviewed,Green,Working,False,No Balance,Reconciliation GL,Not Applicable
ABEX,2022-06,11200020,Business Partner-Letter of Credit,0.0,BS,Assets,Short Term Borrowings,Unsecured Trade Credit - Banks,Critical,Monthly,TRM,reviewed,Green,Working,False,No Balance,Reconciliation GL,Not Applicable
ABEX,2022-06,11200030,Business Partner-Fixed Deposit,0.0,BS,Assets,Cash and Cash Equivalent,Fixed Deposit 3 months or less,Medium,Quarterly,TRM,reviewed,Green,Working,False,No Balance,Reconciliation GL,Not Applicable
ABEX,2022-06,11200040,Business Partner-Equity Broker,0.0,BS,Assets,Other Current Financial Assets,Forward Cover Receivable (Net),Medium,Quarterly,TRM,reviewed,Green,Working,False,No Balance,Reconciliation GL,Not Applicable
ABEX,2022-06,11200060,Business Partner-Foreign Exchange,0.0,BS,Assets,Other Current Financial Assets,Forward Cover Receivable (Net),Medium,Quarterly,TRM,reviewed,Green,Working,False,No Balance,Reconciliation GL,Not Applicable
